timestamp(ms),pressure,temperature,
"1724467416.081","1012.62","22.21",
"1724467416.088","1012.67","22.19",
"1724467416.095","1012.58","22.19",
"1724467416.103","1012.65","22.18",
"1724467416.11","1012.6","22.17",
"1724467416.118","1012.64","22.18",
"1724467416.126","1012.56","22.18",
"1724467416.133","1012.56",,
"1724467416.134",,"22.18",
"1724467416.141","1012.59","22.17",
"1724467416.148","1012.61",,
"1724467416.149",,"22.17",
"1724467416.156","1012.53","22.17",
"1724467416.164","1012.54","22.17",
"1724467416.171","1012.52","22.17",
"1724467416.179","1012.62","22.16",
"1724467416.186","1012.54",,
"1724467416.187",,"22.17",
"1724467416.194","1012.62","22.16",
"1724467416.202","1012.58","22.17",
"1724467416.209","1012.53","22.17",
"1724467416.217","1012.49","22.17",
"1724467416.224","1012.54",,
"1724467416.225",,"22.17",
"1724467416.232","1012.6","22.17",
"1724467416.24","1012.48","22.16",
"1724467416.247","1012.6","22.17",
"1724467416.255","1012.51","22.17",
"1724467416.263","1012.61","22.17",
"1724467416.27","1012.49",,
"1724467416.271",,"22.17",
"1724467416.278","1012.55","22.16",
"1724467416.285","1012.57",,
"1724467416.286",,"22.16",
"1724467416.293","1012.61","22.17",
"1724467416.301","1012.47","22.16",
"1724467416.308","1012.51","22.17",
"1724467416.316","1012.56","22.17",
"1724467416.323","1012.52","22.17",
"1724467416.331","1012.58","22.17",
"1724467416.338","1012.59",,
"1724467416.339",,"22.17",
"1724467416.346","1012.52","22.16",
"1724467416.354","1012.56","22.17",
"1724467416.361","1012.58","22.17",
"1724467416.369","1012.51","22.17",
"1724467416.376","1012.55","22.17",
"1724467416.384","1012.54","22.17",
"1724467416.392","1012.56","22.17",
"1724467416.399","1012.56","22.17",
"1724467416.407","1012.5","22.17",
"1724467416.414","1012.53",,
"1724467416.415",,"22.17",
"1724467416.422","1012.6","22.17",
"1724467416.43","1012.53","22.17",
"1724467416.437","1012.58","22.18",
"1724467416.445","1012.49","22.17",
"1724467416.452","1012.51",,
"1724467416.453",,"22.18",
"1724467416.46","1012.5","22.17",
"1724467416.468","1012.56","22.18",
"1724467416.475","1012.56","22.18",
"1724467416.483","1012.56","22.17",
"1724467416.49","1012.53",,
"1724467416.491",,"22.17",
"1724467416.498","1012.51","22.17",
"1724467416.506","1012.54","22.17",
"1724467416.513","1012.52","22.17",
"1724467416.521","1012.6","22.17",
"1724467416.528","1012.5",,
"1724467416.529",,"22.17",
"1724467416.536","1012.63","22.18",
"1724467416.544","1012.51","22.17",
"1724467416.551","1012.51","22.18",
"1724467416.559","1012.44","22.17",
"1724467416.567","1012.51","22.18",
"1724467416.574","1012.51","22.18",
"1724467416.582","1012.5","22.17",
"1724467416.589","1012.59",,
"1724467416.59",,"22.18",
"1724467416.597","1012.53","22.17",
"1724467416.605","1012.56","22.18",
"1724467416.612","1012.57","22.18",
"1724467416.62","1012.58","22.18",
"1724467416.627","1012.59","22.18",
"1724467416.635","1012.57","22.18",
"1724467416.642","1012.53",,
"1724467416.643",,"22.17",
"1724467416.65","1012.52",,
"1724467416.651",,"22.18",
"1724467416.658","1012.57","22.18",
"1724467416.666","1012.54","22.19",
"1724467416.673","1012.55","22.19",
"1724467416.681","1012.64","22.18",
"1724467416.688","1012.54","22.18",
"1724467416.696","1012.57","22.18",
"1724467416.703","1012.52","22.18",
"1724467416.711","1012.56","22.18",
"1724467416.719","1012.6","22.19",
"1724467416.726","1012.47","22.19",
"1724467416.734","1012.53","22.19",
"1724467416.741","1012.49","22.18",
"1724467416.749","1012.54","22.19",
"1724467416.756","1012.55","22.17",
"1724467416.764","1012.55","22.19",
"1724467416.772","1012.55","22.19",
"1724467416.779","1012.52",,
"1724467416.78",,"22.18",
"1724467416.787","1012.61","22.19",
"1724467416.795","1012.51","22.19",
"1724467416.802","1012.51",,
"1724467416.803",,"22.19",
"1724467416.81","1012.48","22.19",
"1724467416.817","1012.54","22.18",
"1724467416.825","1012.64","22.19",
"1724467416.832","1012.62",,
"1724467416.833",,"22.19",
"1724467416.84","1012.54","22.19",
"1724467416.848","1012.65","22.19",
"1724467416.855","1012.57",,
"1724467416.856",,"22.18",
"1724467416.863","1012.57","22.18",
"1724467416.87","1012.6",,
"1724467416.871",,"22.19",
"1724467416.878","1012.54","22.18",
